,DGS10_70rsi,DGS10_14rsi,DGS10,DGS10_100ema,DGS10_25ema,DGS10_5ema
1966-09-27,0.08382619117270736,-0.1725861173880486,-0.12248136216699028,-0.0036891972932331374,0.018792829142321388,0.0049518213648922504
1966-09-28,0.05882346336894031,-0.2381169229536377,-0.12711893686382622,0.004241029227569859,0.02417060117469738,0.007374370338643965
1966-09-29,0.0002978410237300011,-0.3720206736744484,-0.13871287360591605,0.024032658810685392,0.040365349949876395,0.016753886920761074
1966-09-30,0.016837179486580426,-0.29830062405993346,-0.13523469258328916,0.017724915761687,0.030634953823116096,0.005607900152942991
1966-10-03,0.04876820080665894,-0.16363509170838014,-0.1282783305380352,0.005780701044000747,0.016095091073872414,-0.005075194984513254
1966-10-04,0.03737486809758323,-0.1936587422707926,-0.1305971178864532,0.009740545928986766,0.017494842240864283,-0.001461139314013593
1966-10-05,0.03168975198342494,-0.20894941654789392,-0.13175651156066218,0.011679388686575365,0.016985030948900803,-5.630894843033918e-05
1966-10-06,0.02034410616195018,-0.2399908147771194,-0.1340752989090801,0.015551233731827319,0.018622201978589104,0.0030150848463721402
1966-10-07,0.014683931382162712,-0.25571722769747995,-0.13523469258328916,0.017392925075661703,0.018392051007929178,0.0033420819093297194
1966-10-10,0.031042974669810663,-0.17702998993818966,-0.13175651156066218,0.01130838005885293,0.010964184935475352,-0.0020458917929707665
1966-10-11,0.031042974669810663,-0.17702998993818966,-0.13175651156066218,0.011268557896949583,0.009787420803727631,-0.0014640326591898178
1966-10-13,0.04195672718785787,-0.12263855595269846,-0.12943772421224414,0.007330792837873856,0.005049241609398347,-0.0034026005589984365
1966-10-14,0.03603751348008643,-0.1439396567238434,-0.1305971178864532,0.009314597273378133,0.0062091352748556705,-0.0006556394357751794
1966-10-17,0.02423181884583471,-0.18648050498455304,-0.13291590523487112,0.013209781442628188,0.009107089555231651,0.002407282028135338
1966-10-18,-0.004537522376526369,-0.28247834692692547,-0.13871287360591605,0.02302999045626941,0.017282181586281586,0.0076931113411657925
1966-10-19,0.001155051510347249,-0.25069071967806267,-0.13755347993170708,0.020692371911377627,0.013689924798032882,0.003279620853080756
1966-10-20,0.012509198609945997,-0.18730588390098163,-0.13523469258328916,0.01642628779450983,0.008453782272197952,-0.0009818545722320993
1966-10-21,-0.03213648707227449,-0.3329350158764069,-0.14450984197696096,0.032323241409941694,0.022123874901013307,0.008903045071665838
1966-10-24,-0.03213648707227449,-0.3329350158764069,-0.14450984197696096,0.03177728006654834,0.01969177750377704,0.0049120248671259414
1966-10-25,-0.03213648707227449,-0.3329350158764069,-0.14450984197696096,0.03125467688459205,0.01725202829067607,0.002763013987758356
1966-10-26,-0.02039199018104796,-0.26230650889077567,-0.14219105462854303,0.026672297756563212,0.011387091177685438,-0.0012612750343983237
1966-10-27,-0.0030240293096767345,-0.1627787810979372,-0.13871287360591605,0.02021819345686815,0.004368248417042198,-0.005147736230755262
1966-10-28,-0.014370303166702599,-0.20763258690376674,-0.14103166095433406,0.0239418123265982,0.007327539134945438,-0.0004577226391522249
1966-10-31,-0.014370303166702599,-0.2076325869037666,-0.14103166095433406,0.023555016196220135,0.006279980376336924,2.220446049250313e-16
1966-11-01,-0.002626583266289657,-0.13698716845610193,-0.13871287360591605,0.019166762044845242,0.0016401975942814673,-0.00216546837751308
1966-11-02,0.025973601799530854,0.017719610519295513,-0.13291590523487112,0.009005784337604572,-0.007873232202476488,-0.007240652975250117
1966-11-03,0.0371193956820025,0.0721067799686469,-0.1305971178864532,0.005059129490719405,-0.010958692898901834,-0.0067437199108328905
1966-11-04,0.064276093715538,0.19248219125132693,-0.1248001495154082,-0.004510737150990485,-0.018766414145498844,-0.009589968559000517
1966-11-07,0.064276093715538,0.19248219125132693,-0.1248001495154082,-0.004227341553941777,-0.017111053884542704,-0.005008300794835718
1966-11-09,0.06967699425349437,0.21607152024536702,-0.12364075584119924,-0.005862345997661111,-0.017472909312222562,-0.003350859004739304
1966-11-10,0.09613996472140755,0.32262069499786267,-0.11784378747015432,-0.014948564287298849,-0.024644247167115108,-0.007388598091431442
1966-11-14,0.10645404870618776,0.3600868689035161,-0.1155250001217363,-0.018116577700430958,-0.025893636622539296,-0.006209535289336876
1966-11-15,0.11667983176721648,0.3960605986768215,-0.11320621277331837,-0.021178794890609587,-0.02693809651776269,-0.005712674313887556
1966-11-16,0.12177786913208592,0.4138049957225502,-0.11204681909910941,-0.02232431525313283,-0.026125919428198308,-0.0040130013981949375
1966-11-17,0.12689000955329746,0.431784015596765,-0.11088742542490035,-0.023442012963375114,-0.025421226375623718,-0.002881661576939476
1966-11-18,0.12027437133282078,0.3860042928310884,-0.11204681909910941,-0.020894704998225988,-0.02135073682176647,-0.00016342539630653796
1966-11-21,0.08787850717868011,0.18242886371162967,-0.11784378747015432,-0.010995541410036447,-0.010739141549903075,0.006141886750941961
1966-11-22,0.10365607470843784,0.2532960464403604,-0.11436560644752734,-0.01618586158318025,-0.014857557846610692,0.00012759752096247468
1966-11-23,0.11402105426948467,0.29704242975451167,-0.11204681909910941,-0.019370126275769506,-0.016784161478408666,-0.00246953932196603
1966-11-25,0.11918755111065593,0.3185399703983785,-0.11088742542490035,-0.02067037267452665,-0.01667659939308641,-0.002917908892372534
1966-11-28,0.09331571229930588,0.16505971076109432,-0.1155250001217363,-0.012743273678906153,-0.007957932727312045,0.0028856075756331645
1966-11-29,0.06826317975675636,0.035281345950840544,-0.12016257481857225,-0.0048604235903341175,7.023354702684337e-05,0.006920351539134062
1966-11-30,0.04995741226415788,-0.050174880496740855,-0.12364075584119924,0.0010541555691534477,0.005896617261267334,0.007756960900473953
1966-12-01,0.032016469543286095,-0.127715318806043,-0.12711893686382622,0.006901810842173894,0.011270014220220892,0.007839924021639133
1966-12-02,-0.002564513592592732,-0.2581556960393836,-0.1340752989090801,0.01857502936925548,0.021753198874796542,0.011231191052736067
1966-12-05,0.014191178146914467,-0.16439739812870272,-0.1305971178864532,0.012306182658591514,0.014725684631030855,0.0021917089710208337
1966-12-06,0.019731344991829047,-0.13406024107425069,-0.12943772421224414,0.010117599867183857,0.011935207579326201,-0.0006543462613459727
1966-12-07,0.019731344991829047,-0.13406024107425069,-0.12943772421224414,0.009917251354962797,0.011254293431538276,-0.0009347803733511517
1966-12-08,0.0364508406846025,-0.03980287713810085,-0.12595954318961727,0.003897817846236995,0.005204123659204196,-0.004441966360003602
1966-12-09,0.007398764741774358,-0.1644506950861543,-0.13175651156066218,0.013538844788895776,0.014133615209614314,0.003810238843789726
1966-12-12,-0.056961535389503125,-0.3743647127670397,-0.14566923565117001,0.037383395709716494,0.035564072174465666,0.017496130663411158
1966-12-13,-0.09131692125611778,-0.4596452299801308,-0.15378499137063287,0.05118058519453417,0.04610170319639706,0.019249897606927746
1966-12-14,-0.10548545774549326,-0.4916281410046966,-0.15726317239325985,0.05644498009973087,0.04785603547959383,0.014541815077566245
1966-12-15,-0.1373263210446926,-0.5574490329350832,-0.16537892811272278,0.070373269432497,0.05751490365359646,0.016030108725954895
1966-12-16,-0.12571168757824538,-0.4977802737886151,-0.16306014076430475,0.06443426987745404,0.048150964973854515,0.004997124670328645
1966-12-19,-0.1520660578233742,-0.5530965354896756,-0.17001650280955874,0.07624406817625529,0.055599630404841394,0.009599164591533427
1966-12-20,-0.1648359930124036,-0.5781175656648503,-0.1734946838321856,0.08128401450840217,0.056273590477247115,0.008872361280934715
1966-12-21,-0.17740388034717966,-0.6021081690711796,-0.17697286485481262,0.08627817765900891,0.056802561767146376,0.008400626487399254
1966-12-22,-0.1655413892369583,-0.5392652128186398,-0.1746540775063947,0.07978763768047314,0.04687679189526217,0.0018633288775471435
1966-12-23,-0.16978426534830007,-0.5487952183598298,-0.17581347118060364,0.0802219010181342,0.04389818658437772,0.0014816769335377344
1966-12-27,-0.14613592770412026,-0.4220848018289104,-0.1711758964837677,0.06941743437558467,0.031035911748511946,-0.004789647920628526
1966-12-28,-0.1757199110498405,-0.49928703888117665,-0.17929165220323062,0.08358964453547224,0.04163292012615161,0.006271449583265198
1966-12-29,-0.16402995254499614,-0.44009365798736494,-0.17697286485481262,0.07710987688337023,0.03291029642642873,0.0013017919980473636
1966-12-30,-0.17237809825691344,-0.46292886002451894,-0.17929165220323062,0.07984652570628925,0.032985337544366944,0.0033093642752084484
1967-01-03,-0.1434184386394351,-0.31818788927797614,-0.1734946838321856,0.06673004667936322,0.018897955705416747,-0.004709020907648687
1967-01-04,-0.16025343127093933,-0.3717406545694826,-0.17813225852902156,0.07411654035838566,0.02413832443324715,0.0019161188401366491
1967-01-05,-0.16854245232382895,-0.39723365051629744,-0.1804510458774396,0.07688222336807926,0.025014616355763408,0.004053514581392914
1967-01-06,-0.16272075818875764,-0.36735790086380715,-0.17929165220323062,0.0727776536282776,0.019807299737782724,0.0010418369014546514
1967-01-09,-0.12298991913770521,-0.17755091497604752,-0.1711758964837677,0.05544541529671032,0.0033229974816766372,-0.008472444431028014
1967-01-10,-0.13159108826144517,-0.21124017033886006,-0.1734946838321856,0.058481661035321375,0.006145079292213751,-0.002829454622621519
